,logFC,logCPM,PValue,FDR
ENST00000296677.5,3.369417417179805,7.075663820083383,7.307825932742443e-257,3.253005635700971e-252
ENST00000249749.7,3.8697680133618357,6.263428510446938,7.266858037026335e-241,1.6173845933009515e-236
ENST00000244741.10,1.8487798413500025,10.659879279343672,3.7522151657240257e-236,5.5675368629013095e-232
ENST00000645237.2,2.017506072659335,8.327025887918293,1.0194776596137761e-234,1.1345257135011909e-230
ENST00000263734.5,-1.8892602916359167,8.006476654366004,1.5807183468372872e-222,1.4072819298223003e-218
ENST00000341590.8,-2.426548023788176,6.766820704154253,9.837977236675249e-200,7.2987953118893675e-196
ENST00000359092.7,-2.3062860542001613,7.108294425476307,6.174673860157757e-195,3.926563317300892e-191
ENST00000252809.3,4.2467937469308055,8.096415622084516,7.0664800776869905e-174,3.931966177226984e-170
ENST00000262209.5,3.2629505364465623,8.697186681681728,4.1324054912281906e-167,2.043887755961463e-163
ENST00000602540.5,1.9813474421610067,9.760799319909802,4.146313276186844e-162,1.845689891761812e-158
ENST00000369448.4,3.2121344038062745,6.919259613144694,5.434118288700052e-159,2.1990394682108558e-155
ENST00000223095.5,-1.8343481695180066,11.324162926434312,2.1838562966566693e-153,8.101014932447915e-150
ENST00000343200.9,1.5650335132769624,8.923035702945617,1.5893484282545497e-149,5.442173533486386e-146
ENST00000244745.4,2.3991034839015515,7.237518074210178,2.0692592072709792e-149,6.579357453747169e-146
ENST00000298198.5,2.5264717047025558,6.1442898719836245,2.3731182830972983e-149,7.042465816919542e-146
ENST00000395748.8,7.494234510571493,7.841721386152643,2.0946760314502736e-148,5.827650553998593e-145
ENST00000378827.5,5.528806928699161,6.113035074909098,5.623584247370189e-147,1.4725189952202151e-143
ENST00000421017.6,-1.3857087041668241,8.785763442103304,3.628890288043302e-141,8.974245682331085e-138
ENST00000423485.6,-2.8971119569245682,6.675803274366735,3.3889924416563437e-140,7.939874186731078e-137
ENST00000368653.7,-3.211658572509821,5.8408759925961276,2.502796440666023e-139,5.5704740379903675e-136
ENST00000375398.6,1.9652092381751338,6.893945431714776,1.0811653435829802e-136,2.291761624012037e-133
ENST00000340006.7,-2.3829961855557493,8.316604061018024,5.619492116561267e-134,1.1370276003482193e-130
ENST00000343411.8,-1.9431318002241795,6.718888108888905,4.087372328122664e-132,7.910664861480534e-129
ENST00000234590.10,-1.339548235344479,10.034705515574547,2.2953085728901344e-129,4.257223575567977e-126
ENST00000438257.9,2.7185473566050926,6.442133773075973,1.8045794073381575e-128,3.2131619095300296e-125
ENST00000381151.5,2.5415205684942843,6.904466433569205,6.543697247248111e-128,1.1203313048615476e-124
ENST00000217939.7,3.273326757271326,5.898186115089439,3.647218802161142e-127,6.013048065163003e-124
ENST00000301178.9,-2.082466272309748,8.403286830205825,6.320904923498091e-125,1.00488843487355e-121
ENST00000392748.5,4.836143248721168,5.3671852541292635,2.01650590566852e-124,3.0952670305147753e-121
ENST00000274289.8,1.5631444412243338,7.5087359211109135,2.0202840988441195e-119,2.9976975458649046e-116
ENST00000296861.2,2.0529737278453197,6.6819693742110715,5.696324625326911e-117,8.179554657154907e-114
ENST00000311922.4,2.455890147502741,5.884293368190587,7.0138472461174e-117,9.756699884802185e-114
ENST00000319211.5,1.6656831735559594,9.760955013416368,2.0057230181382338e-115,2.705538013012283e-112
ENST00000233813.5,1.2794197670908443,13.59197604312144,3.961454763922073e-115,5.186476392977269e-112
ENST00000489485.5,-2.83902072137536,6.611909576579371,8.470792149471158e-114,1.0773395478330262e-110
ENST00000305409.3,2.980995856815304,5.543449866483166,1.0637949536254701e-112,1.315382460157894e-109
ENST00000075120.12,2.117603268175013,7.538579481589069,3.43289428241159e-112,4.1300501645207973e-109
ENST00000372764.4,2.248516252962489,10.98462304248816,5.578060635352526e-112,6.53425766110743e-109
ENST00000370206.9,-2.417682300605248,7.907137053710994,4.796626505762133e-110,5.474795699422964e-107
ENST00000286713.7,1.4073860890432242,7.765308468010687,6.217037492899188e-110,6.918630173972862e-107
ENST00000325551.9,-2.1015382160194958,5.76376899300135,6.917532230860706e-110,7.510415359134963e-107
ENST00000339562.9,4.911279036421022,4.811471760014321,1.0205538626977988e-109,1.08164130105071e-106
ENST00000361475.7,-1.8047015023399646,8.017172522676201,1.775603653005435e-108,1.83812141883451e-105
ENST00000263895.9,1.7736421603329777,9.364095430929245,3.6288626739373395e-107,3.671254387901062e-104
ENST00000424649.6,-1.6202839630191639,7.100730922618702,1.2682402636285887e-106,1.2545432687814e-103
ENST00000300403.11,-3.030186319443239,5.898452051962045,6.388662641701942e-105,6.182281061580875e-102
ENST00000504154.6,-2.9555023687010493,5.104055239693154,1.2342923101140963e-104,1.1690061253706146e-101
ENST00000394249.8,-3.325204171777914,5.146311038380418,7.873490150065917e-103,7.301677927917381e-100
ENST00000708566.1,1.416454085762884,11.887695344412219,1.0308932585935777e-100,9.365139288374392e-98
ENST00000523582.5,3.2681998137804333,6.828541905167559,2.365390210593463e-100,2.1058595966871482e-97
ENST00000336023.9,-1.9295636987217417,10.026794560448138,3.3550509127363313e-100,2.928367379010687e-97
ENST00000394894.8,-3.415542615153078,5.0719357957736335,3.886623793959572e-100,3.3270994531599305e-97
ENST00000561100.2,-2.2356838311624103,7.025724688291683,2.254174824799728e-99,1.893251663228964e-96
ENST00000257527.9,1.1554422752131022,9.60892370911967,6.748503273111373e-99,5.5630161981348084e-96
ENST00000257770.8,-1.3557240628593792,8.980876280064074,7.1279496112570066e-99,5.768973618099898e-96
ENST00000257497.11,-1.45984321866111,8.041925894289317,1.0277780699803653e-97,8.16973446555464e-95
ENST00000286364.9,2.0651154300004735,5.889868498872161,1.59557459652186e-94,1.2460597822732296e-91
ENST00000280527.7,-2.058263819755234,8.794554104689716,1.3808655024908094e-93,1.059790465135791e-90
ENST00000271588.9,2.050741934836766,7.040865728482205,2.6999842318456687e-93,2.0370694592606456e-90
ENST00000366955.8,-2.803481682599318,6.2495472743578375,2.985518734430861e-93,2.2149563490742556e-90
ENST00000291295.14,-1.4710139889380114,8.051665238779089,3.944916667899692e-93,2.8787544353260145e-90
ENST00000233156.9,1.594884574058427,7.714724530644724,8.301960681504165e-93,5.960539964136716e-90
ENST00000379742.4,2.543174471447388,7.359032081808772,2.334087372464637e-90,1.649199449172871e-87
ENST00000329759.6,2.687772389171854,5.765759325854772,7.880768498619038e-89,5.4813207648051235e-86
ENST00000220597.4,2.0349221726546944,5.791141704931975,3.275766824685698e-88,2.2433459143701407e-85
ENST00000263620.8,1.7656365591635992,6.074968932773795,3.617139045524125e-88,2.439595870794862e-85
ENST00000434127.3,1.6570380170373433,6.708737674664409,5.499300778734759e-87,3.6536697740984933e-84
ENST00000256646.7,-1.3429646404910323,7.877670808232692,1.0130451380056999e-86,6.631572246056724e-84
ENST00000357681.10,-1.3657583901589387,9.167154511292063,2.818654266128714e-86,1.818399652209472e-83
ENST00000612661.2,-1.9019866760896784,7.438676537085706,1.4163975638174032e-85,9.007074450823984e-83
ENST00000206262.2,2.8235351524717767,4.861022571073048,1.5898395551997117e-85,9.967622247909855e-83
ENST00000328252.4,2.0323338174880976,9.089071559175535,2.5567111690673626e-85,1.5806866802758972e-82
ENST00000295927.4,-1.64348556500256,6.901726135730324,3.5528696460595734e-84,2.166471772941039e-81
ENST00000671713.1,-2.433254913460113,5.779488202733342,8.292570561209431e-84,4.921806479489021e-81
ENST00000261918.9,-2.433254913460113,5.779488202733342,8.292570561209431e-84,4.921806479489021e-81
ENST00000340368.9,2.6086318118649343,6.829728739446815,5.178157436612288e-83,3.0329013175442025e-80
ENST00000261401.8,-2.327115276416318,8.522673022845504,1.2726628259523448e-82,7.357313381096452e-80
ENST00000534221.1,3.9833192878631927,5.125438494118917,2.7249221075166904e-82,1.5550920858204868e-79
ENST00000290271.7,3.7666822281489902,9.797518569851821,3.45058637291574e-82,1.9442962253667246e-79
ENST00000580666.6,3.8350551620051254,5.263975548823727,5.618314486851003e-82,3.1261706383460695e-79
ENST00000262293.9,-2.9900513877886428,5.083230915512351,5.765346457682963e-82,3.168378175522215e-79
ENST00000367468.10,6.40425709341812,6.173834680555498,1.4508374033053327e-81,7.875923923260193e-79
ENST00000261799.9,1.41740273171356,9.283455615053196,1.3162598366709028e-80,7.059275948140791e-78
ENST00000369850.10,-1.840300442630937,9.098652841917477,2.4230142018905074e-80,1.2840244545589768e-77
ENST00000297350.9,1.4779752685527163,8.158218625373081,4.863780638490811e-80,2.5471333099032936e-77
ENST00000360938.8,2.060296758590145,6.290942739478427,7.7900201398303e-80,4.0321506570279764e-77
ENST00000325888.13,-1.311566639064007,10.436030233444887,4.010673285520579e-79,2.0520817313984258e-76
ENST00000216121.12,-2.209357941523093,5.2832535090708515,4.8576730251074074e-79,2.4572097390867172e-76
ENST00000248564.6,2.1043315144912365,7.117374356692301,4.9174399965715026e-79,2.4594935281728524e-76
ENST00000193403.11,-0.8997524448792068,9.317867090536136,4.2491237128688917e-78,2.1016165883849537e-75
ENST00000403663.6,-1.7466015636325347,6.207340897980496,6.265893193893647e-78,3.065054611351448e-75
ENST00000358278.7,-1.6380510578548062,8.39922872845111,4.192621632625067e-77,2.0285908625507852e-74
ENST00000368463.8,1.813973966870885,7.339772534258387,1.2237775006993093e-76,5.857551792056888e-74
ENST00000680379.1,5.409922769872138,5.167137490059164,1.3816392698194156e-76,6.542796857100156e-74
ENST00000539310.5,-1.816673334502915,7.102564526239166,2.3748740168380564e-75,1.1127909682687289e-72
ENST00000420115.6,-1.7706619016001388,6.338423906554098,7.604461310745906e-75,3.5260936540264925e-72
ENST00000264563.7,2.6581594937837423,6.292534895356321,8.519480724377402e-74,3.909651185205523e-71
ENST00000264833.9,3.6732485687958385,5.106648389384649,9.159796196813003e-74,4.16060375413198e-71
ENST00000342745.5,1.7380377445236777,6.35592914022337,1.0735454736343788e-73,4.827050829632398e-71
ENST00000308508.5,-1.6933875637967142,7.435720217572167,1.3674968501112105e-73,6.087275478585042e-71
ENST00000300093.9,-3.358296617369149,4.9809127578451164,1.5143048627507532e-73,6.674036303018517e-71
ENST00000388820.5,2.1738244415101837,5.955589783278626,2.042599974161197e-73,8.914146593118778e-71
