,logFC,logCPM,PValue,F,FDR
ENST00000244741.10,1.8487724858671488,10.659879279343672,3.242949437071756e-10,4230.515032088619,5.234089619099044e-06
ENST00000645237.2,2.0174243694771046,8.327025887918293,3.3607089634346205e-10,4183.245427492325,5.234089619099044e-06
ENST00000263734.5,-1.8891879953805741,8.006476654366004,3.527489971087103e-10,4119.878182573441,5.234089619099044e-06
ENST00000249749.7,3.8703794320092313,6.263428510446938,8.064584704401576e-10,3177.960207622335,7.206532204169487e-06
ENST00000296677.5,3.369700514729962,7.075663820083383,9.990516088167592e-10,2968.009949503856,7.206532204169487e-06
ENST00000341590.8,-2.426547477174067,6.766820704154253,1.0229875440038873e-09,2945.5543578683837,7.206532204169487e-06
ENST00000359092.7,-2.3062758681199944,7.108294425476307,1.1332552776471763e-09,2851.894068844497,7.206532204169487e-06
ENST00000421017.6,-1.3856008780268319,8.785763442103304,1.411754420758613e-09,2660.7347493340885,7.855354535706113e-06
ENST00000343200.9,1.5649512294792165,8.923035702945617,2.0247100052323518e-09,2374.676462484006,1.0014215685879212e-05
ENST00000234590.10,-1.339520460386022,10.034705515574547,2.290467628442151e-09,2284.0537082697124,1.0195787601247392e-05
ENST00000233813.5,1.2794139466557175,13.59197604312144,3.497554279599004e-09,1998.458264232577,1.1657142886470583e-05
ENST00000602540.5,1.9813431599215232,9.760799319909802,3.8485546131240126e-09,1939.0389798896301,1.1657142886470583e-05
ENST00000375398.6,1.9652367369832882,6.893945431714776,4.393325264035204e-09,1859.8279550678008,1.1657142886470583e-05
ENST00000223095.5,-1.8343424488615696,11.324162926434312,4.4388873519294606e-09,1853.6301754275585,1.1657142886470583e-05
ENST00000343411.8,-1.943121995819759,6.718888108888905,4.5334153910400086e-09,1841.4900007503143,1.1657142886470583e-05
ENST00000298198.5,2.52565563929716,6.1442898719836245,4.640940228292367e-09,1828.2392103450552,1.1657142886470583e-05
ENST00000274289.8,1.5633205222443007,7.5087359211109135,4.689430492716885e-09,1821.791446850313,1.1657142886470583e-05
ENST00000325551.9,-2.1018378586443456,5.76376899300135,5.051011493636802e-09,1780.0050592066887,1.1657142886470583e-05
ENST00000286713.7,1.4073708590541387,7.765308468010687,5.056791176524077e-09,1778.9200099020475,1.1657142886470583e-05
ENST00000257527.9,1.1554857384806754,9.60892370911967,5.303130094280939e-09,1752.3969323494757,1.1657142886470583e-05
ENST00000193403.11,-0.8997315125624378,9.317867090536136,5.499393463087618e-09,1732.404741519325,1.1657142886470583e-05
ENST00000258341.5,-0.8286432825471356,9.839145440274606,6.1997713382012546e-09,1668.0551183317466,1.2544391879485937e-05
ENST00000244745.4,2.3992276465801106,7.237518074210178,6.516095559640499e-09,1642.1763540052937,1.2611194684427703e-05
ENST00000504154.6,-2.9573162153263244,5.104055239693154,8.208682144082899e-09,1528.351414889823,1.5161436788613451e-05
ENST00000368653.7,-3.211619885703111,5.8408759925961276,8.90447259286518e-09,1488.6983695600672,1.5161436788613451e-05
ENST00000442011.7,0.7170434256800038,11.941845083686701,9.194880906858292e-09,1472.8074787128216,1.5161436788613451e-05
ENST00000424649.6,-1.6202895894861788,7.100730922618702,9.19618082608984e-09,1472.8089804780368,1.5161436788613451e-05
ENST00000296861.2,2.0531851651285367,6.6819693742110715,1.0161995835745789e-08,1427.1410281252106,1.6026105460842433e-05
ENST00000311922.4,2.4565025133337417,5.884293368190587,1.0774407433846216e-08,1401.2970306905822,1.6026105460842433e-05
ENST00000257770.8,-1.3557658908493342,8.980876280064074,1.086280231549302e-08,1397.2448185689798,1.6026105460842433e-05
ENST00000206262.2,2.8244627327793137,4.861022571073048,1.1160741997711178e-08,1387.6479382991533,1.6026105460842433e-05
ENST00000369448.4,3.2153940818694693,6.919259613144694,1.2007136958891683e-08,1354.0021520182538,1.6231399124292357e-05
ENST00000319211.5,1.6656836352871536,9.760955013416368,1.212641907580065e-08,1349.4912621601343,1.6231399124292357e-05
ENST00000263620.8,1.7656102790748738,6.074968932773795,1.239761805782316e-08,1340.2857328440487,1.6231399124292357e-05
ENST00000257497.11,-1.4597828682961314,8.041925894289317,1.3054654323192176e-08,1318.400024684349,1.6343397787063738e-05
ENST00000305409.3,2.980526441381067,5.543449866483166,1.3696974443091498e-08,1299.5790761583628,1.6343397787063738e-05
ENST00000262209.5,3.262161031453272,8.697186681681728,1.384436564885888e-08,1294.2026191578768,1.6343397787063738e-05
ENST00000286364.9,2.0650790549939058,5.889868498872161,1.4933738702674756e-08,1263.8075782605545,1.6343397787063738e-05
ENST00000708566.1,1.4164491906381846,11.887695344412219,1.4978309732134585e-08,1262.3395899174045,1.6343397787063738e-05
ENST00000423485.6,-2.898346578986365,6.675803274366735,1.53690326543028e-08,1252.317768312513,1.6343397787063738e-05
ENST00000217939.7,3.276389030105148,5.898186115089439,1.6281366360567225e-08,1230.358061605425,1.6343397787063738e-05
