"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENST00000611116.2",-2.35066975735956,-2.41453155729029,-0.963275025465715,0.0104338895484548,0.146793349987331
"ENST00000390289.2",-0.000477812792383142,-0.000494535911216806,0.0168416723404389,0.999673634438912,1
"ENST00000617347.1",-3.70368968890038,-3.76658080692362,0.267562886805899,0.000386261759578007,0.00866199292990198
"ENST00000361390.2",0.166947959056298,0.16694876819436,10.5113375173814,0.999982560151544,1
"ENST00000361453.3",0.0942647489255324,0.0942651882961523,10.5645781293701,0.999999996347674,1
"ENST00000361624.2",0.217787317332765,0.217787469720665,13.306317149988,0.999999999787728,1
"ENST00000361739.1",0.0704208893927437,0.0704210250215088,11.8399876450521,0.999999999996424,1
"ENST00000361851.1",0.0395957576698975,0.0395964770714588,8.60174861565282,0.999999999905273,1
"ENST00000361899.2",0.163465016331393,0.163465457931226,11.3544945862685,0.999999999999037,1
"ENST00000362079.2",0.204303663368336,0.204304044023509,11.8926278419089,0.999999999037956,1
"ENST00000361227.2",0.222216800313659,0.222221591282655,8.36137610147463,0.999999954269906,1
"ENST00000361335.1",0.0757036597996422,0.0757045626295627,9.20684527768969,0.999999999999929,1
"ENST00000361381.2",0.189657974307512,0.18965824687164,12.2665119506945,0.999999999955865,1
"ENST00000361567.2",0.289924141923646,0.289924892678071,11.4227339483606,0.999999947512821,1
"ENST00000361681.2",0.382838562049254,0.382841718480849,9.75964889615447,0.999520603630916,1
"ENST00000361789.2",0.384276858528157,0.384278241871083,10.9545231613058,0.998599589882593,1
"ENST00000614336.4",-0.477110891014956,-0.477526417004474,3.06831426444842,0.643225533094877,1
"ENST00000612640.4",-0.917971981807681,-0.921089275246641,1.21454575709123,0.296899126281096,1
"ENST00000618686.1",1.59062518964427,1.60479067199276,0.120746088335737,0.0429415552930296,0.4325640172695
"ENST00000612465.1",0.0226124681003604,0.0226161335187764,5.52838569086111,0.999999865609524,1
"ENST00000612919.1",0.859749123761332,0.865216878574508,0.35839517118552,0.297633238716985,1
"ENST00000612848.1",-0.29945350924712,-0.299637779111955,3.53605091108279,0.909795959835154,1
"ENST00000613230.1",0.302766392685231,0.304501027348198,0.414444233123002,0.785003165577073,1
"ENST00000400754.4",-0.0957092089170535,-0.0961128138711476,0.782499488281488,0.921339984898254,1
"ENST00000707298.1",0.582295335797279,0.582572291307216,3.94488999743164,0.504301659315057,1
"ENST00000707299.1",-0.134669476781062,-0.136022278128832,-0.39528617381114,0.897065329391315,1
"ENST00000707301.1",0.370483763587388,0.370962978279116,2.47651726412197,0.695304253326898,1
"ENST00000672017.1",-0.709368037247941,-0.709993767357045,3.07859396398259,0.317467165837446,1
"ENST00000672339.1",-1.34082221721202,-1.35304722849294,-0.00427620174242621,0.488945421204957,1
"ENST00000672295.1",0.0275035408235787,0.0275316515118379,2.83904440214775,0.990982890604242,1
"ENST00000672064.1",-0.397141925571518,-0.397823237170211,2.10546033880984,0.699307747942044,1
"ENST00000673550.1",-0.504771073090846,-0.504915769709284,4.65803533867969,0.674168735616469,1
"ENST00000672938.1",-0.998853442402564,-0.999297516754517,4.10759443380071,0.0566893727901268,0.526162429172846
"ENST00000672225.1",-2.89544241708071,-2.91073906228776,1.35489864513397,2.53814408653047e-06,8.29537047487646e-05
"ENST00000672190.1",-1.26949829462123,-1.28229693981943,-0.15685626674425,0.629054370916405,1
"ENST00000673576.1",0.30035129564312,0.301107666479993,1.51862704328356,0.75243884503285,1
"ENST00000710476.1",-0.0104621414009805,-0.0105210613512178,0.281913354792851,0.991464638439777,1
"ENST00000643872.4",0.359060603830735,0.359130172258692,5.21107825358633,0.95128153144957,1
"ENST00000628983.2",-0.0189211146078559,-0.0190272336746033,0.727445114841684,0.984877011908973,1
"ENST00000673006.3",-0.543678710669745,-0.548555112401864,-0.154760526652398,0.62589810637493,1
"ENST00000672883.3",0.309009523882951,0.312667236820251,-0.457350056941366,0.870535889311283,1
"ENST00000711214.1",0.144107202224385,0.144112002938277,7.72867197473932,0.999999999999691,1
"ENST00000711204.1",0.62861396066577,0.629040612292575,3.43177647986865,0.423199876059135,1
"ENST00000711203.1",0.910005467499712,0.912931055546621,1.31186311042026,0.241669067033284,1
"ENST00000711201.1",1.07630064249935,1.08584635439157,-0.0147120035564722,0.178554890655397,1
"ENST00000711197.1",0.0367911434197617,0.0368115382224318,3.65631980638507,0.997944011282992,1
"ENST00000711192.1",-0.752747298552965,-0.759385206897711,-0.0767821688134638,0.573169593711845,1
"ENST00000711184.1",0.943045220484373,0.944738138155933,2.11446976673979,0.515653605122004,1
"ENST00000711179.1",-3.0526967188897,-3.0658137555132,1.71131351855993,0.120856015614209,0.832526257977548
"ENST00000711173.1",0.0396030950930846,0.0396440387978805,2.87450166712149,0.967746470029818,1
"ENST00000711172.1",1.05055896836844,1.05165055321315,2.90902540896505,0.381014405398476,1
"ENST00000711171.1",0.657720782977702,0.658290069130627,3.09716657964306,0.494348501352519,1
"ENST00000711165.1",0.105738983115234,0.105786037864721,3.99242137941765,0.992400100108752,1
"ENST00000711164.1",-0.0599229581045316,-0.0600516242408424,1.83560748144306,0.960942921082478,1
"ENST00000711161.1",-0.720002708905822,-0.72064710017749,3.06432243292043,0.330083994796968,1
"ENST00000711160.1",0.062434297989852,0.0624394472109683,6.41466267614119,0.999999999958238,1
"ENST00000711158.1",0.151419540255381,0.151533396621456,3.22699002669297,0.957681011042813,1
"ENST00000711154.1",-0.803430568273768,-0.813138796929308,-0.473818540129548,0.354502026947559,1
"ENST00000711132.1",0.145817161337959,0.145903500388908,3.60582311900479,0.984263529917927,1
"ENST00000711186.1",0.147116057455503,0.14770002439332,0.913736174986808,0.878584621016548,1
"ENST00000711185.1",0.247485019602536,0.248356619465112,1.06105041516708,0.80193827421411,1
"ENST00000672066.1",-0.351021767803339,-0.351086516528084,5.28085692576568,0.987535236282452,1
"ENST00000673544.1",0.746332161368437,0.75698342163622,-0.660391489869869,0.604269071356225,1
"ENST00000672298.1",0.0304399874328051,0.0306017542485021,0.720329701199566,0.975652669656865,1
"ENST00000850822.1",0.329175515463423,0.330385549032868,1.02837460363139,0.727103113770733,1
"ENST00000711232.1",-0.0732263237433137,-0.0737719273116196,0.19107432473828,0.939252610290531,1
"ENST00000711233.1",-0.0456781666434485,-0.0457000651690062,3.90581304824119,0.997608894533511,1
"ENST00000711260.1",-0.150133708215365,-0.150168404823604,4.95060125344817,0.999862822266248,1
"ENST00000711264.1",0.283607155235104,0.284717845851489,0.956657003213716,0.792742798220858,1
"ENST00000711271.1",0.415335408592467,0.416420581794972,1.49148280938212,0.656759668397066,1
"ENST00000711273.1",0.476262299600197,0.477178832110622,1.94590071813152,0.614845842653519,1
"ENST00000711277.1",-0.265988542357219,-0.269035121166121,-0.473136388973675,0.833790975613024,1
"ENST00000711284.1",-0.0333523259666534,-0.0335315721922607,0.585506508161004,0.973783539412474,1
"ENST00000710353.1",-1.28465047259805,-1.29622389209277,0.00878895560246189,0.513600527974635,1
"ENST00000672201.1",0.405049844664621,0.405137536317844,5.04613121086039,0.940380382371225,1
"ENST00000673369.1",0.178689216918881,0.178982136846122,2.15803984165892,0.897134790953692,1
"ENST00000672991.1",0.192013676722746,0.192572095897142,1.31242041602899,0.842221310141692,1
"ENST00000672633.1",1.69759334128039,1.72482804256074,-0.597392902766875,0.12001918183683,0.829013085937113
"ENST00000673585.1",0.661348499774073,0.6693213069779,-0.451970827594584,0.615130889663446,1
"ENST00000707384.1",0.201046412876719,0.201884191732984,0.811427870250381,0.837800828865799,1
"ENST00000707385.1",0.0378244075913517,0.0380129890013148,0.836807499852563,0.9696025774042,1
"ENST00000707390.1",0.401725666304689,0.403173310348486,1.05801281038703,0.670990887570856,1
"ENST00000707355.1",0.0347495343140498,0.0347685073283152,3.66823439242658,0.997371230353187,1
"ENST00000707357.1",-0.152209046501923,-0.152970420318975,0.579728434970083,0.874053232853479,1
"ENST00000707364.1",-0.154776303546548,-0.155073691611095,1.92761415594641,0.904212420269406,1
"ENST00000707369.1",-0.263033703202613,-0.263557071188246,1.90416657396591,0.79186930522123,1
"ENST00000707372.1",-0.0504743345884478,-0.0504840497406419,5.21157103830851,0.999999757421324,1
"ENST00000707376.1",-0.406919639664163,-0.40850930960957,0.95148756644454,0.672442627774967,1
"ENST00000707381.1",-0.121221894670619,-0.122983942402338,-0.647454692313646,0.901232102436441,1
"ENST00000710277.1",-1.34576137013164,-1.35492456492224,0.393688798975026,0.503983733349674,1
"ENST00000713539.1",-0.0847750803524897,-0.0855730964238133,-0.300123030737647,0.97412207142712,1
"ENST00000713541.1",-0.173299082346869,-0.174558630246759,0.0950620501914288,0.932984629250797,1
"ENST00000710279.1",-0.405673046427938,-0.406208291958928,2.48000128763916,0.67328115573216,1
"ENST00000710278.1",-0.737611385039854,-0.738009110389367,3.78777532769927,0.239079557229873,1
"ENST00000713540.1",-0.37258735508282,-0.37383125221764,1.15626549187911,0.852862556618499,1
"ENST00000713538.1",-1.33442863530289,-1.33596209167446,2.84226056264878,0.10958245864402,0.78625943972919
"ENST00000710275.1",-0.116647923917991,-0.116769519237926,2.75571337189968,0.908261508516581,1
"ENST00000628182.3",0.557254041032754,0.557389780731566,4.90447008887098,0.572276767226776,1
"ENST00000625211.2",0.241375465177803,0.241738084907244,2.27817780744669,0.806894990745231,1
"ENST00000626698.1",0.198794227333951,0.198990447668594,2.84843064275117,0.856990315260914,1
"ENST00000629245.3",0.0212648632667837,0.0214494735061965,-0.188514208356925,0.982108676204191,1
"ENST00000626912.1",0.673035901889644,0.676159219765511,0.748757135717122,0.434579987616886,1
"ENST00000627374.3",-0.0438050624118416,-0.0438996846574763,1.74280337437008,0.968887974482804,1
"ENST00000626413.3",-0.800081683965603,-0.801394891007236,2.21390283942994,0.281641787215944,1
"ENST00000628303.1",-0.774933417799011,-0.780042433792403,0.304053116621479,0.530725381579886,1
"ENST00000707468.1",-0.761464321649688,-0.76146721370683,10.9269242925828,0.00572050041119876,0.0899478471579306
"ENST00000707471.1",-0.812819795261548,-0.813134284875517,4.2715416633531,0.132635970771659,0.875468209212581
"ENST00000707473.1",-1.96893002519874,-1.9809461748143,0.738108063011765,0.0220411972349148,0.265173473977026
"ENST00000707475.1",-1.01180225387388,-1.013436797339,2.28291625622029,0.16956046950548,0.994264862905919
"ENST00000707476.1",-0.33734404732653,-0.337765428604946,2.54191124255533,0.779895048616294,1
"ENST00000707480.1",0.704807879269795,0.707529889878392,0.997664413393219,0.414845245888075,1
"ENST00000707481.1",-0.658959015412207,-0.661635822878682,0.923953895929863,0.505294015832313,1
"ENST00000707482.1",-1.36308995316741,-1.36850128999621,1.10218604065081,0.100687063387438,0.753401233758349
"ENST00000707483.1",-1.0992827808381,-1.10307076450174,1.24407029324284,0.15580045535425,0.954369457520341
