"","Length","EffectiveLength","Overdispersion","logFC","logCPM","F","PValue","FDR"
"ENST00000611116.2",978,799.69388008956,1,-2.38487560977246,-0.961254241662066,18.2782808231506,0.00159489548754221,0.013220285181697
"ENST00000390289.2",379,203.275423018931,1.12951933870616,-0.0202447459059441,0.0157797951341554,0.00205541542404241,0.965228107794397,0.982132737370307
"ENST00000617347.1",406,229.369854443842,1,-3.871234693635,0.267933949810459,29.6561275665982,0.000301772488576845,0.00392823326959967
"ENST00000361390.2",956,777.69388008956,1.00668883302524,0.15478129853026,10.510582565878,4.19692436082664,0.0853726321368513,0.225981116292001
"ENST00000361453.3",1042,863.69388008956,1.11712832820714,0.0821864282126,10.5640273059694,2.01313644081701,0.204693470806772,0.401226510515841
"ENST00000361624.2",1542,1363.69388008956,1,0.205564566277736,13.3055861539877,45.4973428797928,0.000471243472035117,0.00544390080571426
"ENST00000361739.1",684,505.787509330679,1.07667801078717,0.0583275702876448,11.8395659001689,1.43338315874488,0.27541962531174,0.483152664802052
"ENST00000361851.1",207,54.8531033353349,1.01692883836492,0.0272811307521442,8.60152244195587,0.203997898954223,0.667042812510001,0.80897603375966
"ENST00000361899.2",681,502.787509330679,1,0.151345691466486,11.3539224909737,21.5141071114092,0.00334904228707119,0.022399094615813
"ENST00000362079.2",784,605.721399842435,1.12607564138364,0.192079919460069,11.8919410291576,28.3463014178496,0.00166767531056643,0.0136704312412114
"ENST00000361227.2",346,171.866207595792,1.0439457472738,0.209941476102352,8.36070515131065,27.8625681470274,0.00157483177696531,0.0130873427625475
"ENST00000361335.1",297,127.101952938106,1,0.0635903191366521,9.2064304386442,2.46349347128802,0.166491901385898,0.351735825420936
"ENST00000361381.2",1378,1199.69388008956,1.0639566157651,0.177518155846989,12.2658796272382,27.5505079431677,0.00179484066514001,0.0143802261837277
"ENST00000361567.2",1812,1633.69388008956,1.03968438819341,0.277701284613692,11.421917655192,94.0697958324208,6.02229928106734e-05,0.00126459818689742
"ENST00000361681.2",525,346.978508007634,1,0.370523465277028,9.75869893858202,105.952230028279,4.25957988935754e-05,0.000998828018953432
"ENST00000361789.2",1141,962.69388008956,1,0.372169280753118,10.9534320776623,89.5217805685419,6.95250676920841e-05,0.0013858931531806
"ENST00000614336.4",3728,3549.69388008956,2.68303603950959,-0.48896683322473,3.07036858507979,7.0896446667161,0.035418825758347,0.122356496465254
"ENST00000612640.4",2116,1937.69388008956,6.90949781473816,-0.918497497508149,1.217551255358,4.68803886171622,0.0715800787425019,0.200523562673809
"ENST00000618686.1",2237,2058.69388008956,1,1.60324854477436,0.117860740506028,16.0247887596866,0.00501959563405273,0.0300190978189693
"ENST00000612465.1",2195,2016.69388008956,1.08272746913584,0.0113025059597538,5.52835435716929,0.0266159176658481,0.875471551601014,0.937147144320544
"ENST00000612919.1",372,196.517381641297,1.27420055767328,0.830891911239604,0.357015939843559,5.96027364154066,0.0479790661344821,0.151599910629832
"ENST00000612848.1",740,561.721399842435,1.94275226875766,-0.305564961472864,3.5370051713654,7.0473982846113,0.0358006856600753,0.123187017209063
"ENST00000613230.1",2179,2000.69388008956,1.96162028502743,0.243727668684115,0.409853004976682,0.143767561867535,0.71758019542468,0.84194297594196
"ENST00000400754.4",1599,1420.69388008956,1.56886601162578,-0.0927849540754984,0.79125247483893,0.0627958794931561,0.810191337485286,0.899608098323789
"ENST00000707298.1",2588,2409.69388008956,4.53197020466173,0.575627200332947,3.94202649999824,15.4112463423432,0.00692898180417881,0.0378975471288974
"ENST00000707299.1",1125,946.69388008956,5.9203741496255,-0.064873493390078,-0.414853256028214,0.0105374830843424,0.921120916227295,0.960251991948571
"ENST00000707301.1",2676,2497.69388008956,14.2052192575197,0.291722098067441,2.47951303594588,0.442032097791614,0.530356485334625,0.711693731391275
"ENST00000672017.1",3581,3402.69388008956,1.68218937693422,-0.725110820116533,3.08041312726464,24.8674500727459,0.0021102640327289,0.0161435134303689
"ENST00000672339.1",3117,2938.69388008956,11.054908836611,-1.25796754877132,-0.00714627671657677,1.39473616310554,0.278974045109217,0.487049750083342
"ENST00000672295.1",4375,4196.69388008956,1,0.014708390842236,2.84086996111997,0.00953901747220906,0.925206571464406,0.962675175440735
"ENST00000672064.1",2950,2771.69388008956,1,-0.410557148588914,2.10570969778795,3.75240547820602,0.0982434484262589,0.248273582643192
"ENST00000673550.1",2695,2516.69388008956,9.63494812870984,-0.51883606591957,4.65836329324379,17.0080299089187,0.0057798823082863,0.0331841519688171
"ENST00000672938.1",1127,948.69388008956,4.55531425861087,-1.00571422598167,4.10998727967915,28.4217995223022,0.00165714962588196,0.0136104347297281
"ENST00000672225.1",1689,1510.69388008956,1,-2.92943429229923,1.36173790804774,102.65198644998,2.70955470462681e-05,0.00073945101016463
"ENST00000672190.1",7853,7674.69388008956,6.67923262235639,-1.32363134204302,-0.154384805227244,0.847338452695908,0.387955704516367,0.595019444021554
"ENST00000673576.1",5610,5431.69388008956,5.12417006760083,0.256611625334468,1.51614372963579,0.542822283992903,0.487726308891591,0.679570182306454
"ENST00000710476.1",750,571.721399842435,1.75312074825761,-0.0523327843106158,0.283499800544835,0.0120554125929471,0.91600939053502,0.957751058759444
"ENST00000643872.4",4662,4483.69388008956,1.69190239761934,0.349710758162649,5.20983963012708,14.5935026787815,0.00790794236006706,0.0418028553848018
"ENST00000628983.2",684,505.787509330679,4.18968431942169,-0.0691133631778643,0.72478031977636,0.015502634287671,0.904923062560782,0.952089055969695
"ENST00000673006.3",5321,5142.69388008956,5.83406407235573,-0.431440557592592,-0.148620582402636,0.424649658210166,0.537406305286793,0.717165905661469
"ENST00000672883.3",1362,1183.69388008956,5.34720830618115,0.439682310597911,-0.44555246424527,0.161588639698206,0.699910517436161,0.830115830627941
"ENST00000711214.1",1451,1272.69388008956,1,0.132042786578307,7.72808862450336,17.8771967386358,0.00484661656510347,0.0293145478056484
"ENST00000711204.1",2579,2400.69388008956,1,0.605943029681552,3.43080372366187,24.9125515767069,0.00209927456760149,0.0160831924514944
"ENST00000711203.1",744,565.721399842435,1.29781841279334,0.932725327917274,1.30845345155693,11.0650553977385,0.0148455172539764,0.0657305673428098
"ENST00000711201.1",797,618.721399842435,1.36854308976932,1.09599729467288,-0.0219145275170903,9.006645917499,0.0204120227122188,0.0826869598406468
"ENST00000711197.1",2065,1886.69388008956,1.06553182285747,0.0218780934633482,3.6540784668859,0.0441167487446147,0.84021250530587,0.917997819653322
"ENST00000711192.1",2048,1869.69388008956,7.743379159312,-0.724482943762006,-0.0725604887405519,0.889739810251368,0.380424851249644,0.587895920589986
"ENST00000711184.1",5287,5108.69388008956,15.9894201819413,0.861120214712217,2.11280025573797,1.5359544073577,0.260675838310114,0.467320570911927
"ENST00000711179.1",5318,5139.69388008956,14.1558885483284,-2.86340156975038,1.7158770166818,10.1595201095195,0.0181089748352624,0.075832284024198
"ENST00000711173.1",4507,4328.69388008956,18.5728968010572,0.0582060508897397,2.87285510799125,0.0185170130337911,0.896119001142092,0.947812138693666
"ENST00000711172.1",4510,4331.69388008956,72.1212500361136,0.941174778787021,2.90830167733772,1.44018760001556,0.27443115430064,0.482107304313379
"ENST00000711171.1",4498,4319.69388008956,57.8075061644676,0.66159382049224,3.09462725382177,1.25218669608242,0.305050128162095,0.514397580080969
"ENST00000711165.1",1243,1064.69388008956,1.88525098675579,0.0921132815552932,3.9927691882508,0.55805170889004,0.481770892285678,0.675008871632788
"ENST00000711164.1",892,713.69388008956,2.30278824304621,-0.0883772143109005,1.83349899308844,0.163017464959113,0.699673681555647,0.829926303830092
"ENST00000711161.1",497,319.060798472776,4.36386808284687,-0.753490289220408,3.06375844124188,13.9908074557831,0.00866922920698422,0.0446268615731384
"ENST00000711160.1",1129,950.69388008956,1.24350827223485,0.0501116112626922,6.41430685349054,1.29734211545599,0.295813744151027,0.505248882800414
"ENST00000711158.1",1089,910.69388008956,3.72948818692421,0.127503447551712,3.22616078614241,0.76071000523278,0.414857953017718,0.619177741031889
"ENST00000711154.1",604,425.806535893501,1.20844502265841,-0.837915246101976,-0.470639509125433,4.58191956368946,0.0683948394560019,0.194667247895256
"ENST00000711132.1",3199,3020.69388008956,1.20587302507313,0.140300174822099,3.60493129351036,1.6682147465387,0.241501765501969,0.444937332284246
"ENST00000711186.1",3232,3053.69388008956,5.56737594846454,0.125088708163459,0.918877752763887,0.106028406638069,0.755341822500672,0.865637259250123
"ENST00000711185.1",2187,2008.69388008956,1.08114912208973,0.20809837646348,1.05994054917332,0.527625938387957,0.493831681451275,0.684454284665278
"ENST00000672066.1",3176,2997.69388008956,1,-0.364027817814912,5.28113450170855,44.1327572085585,0.000442342499886559,0.005196548434233
"ENST00000673544.1",344,170.010570377574,2.66683038437263,0.742740113458042,-0.652128057756873,0.751494099275369,0.412936558975331,0.617585613251571
"ENST00000672298.1",554,375.903472020575,1,0.0402047460255849,0.716333304519542,0.0172352387728275,0.899690365499798,0.949819181275302
"ENST00000850822.1",3290,3111.69388008956,1.47342589679828,0.288282643537303,1.03475634810865,0.593787844133647,0.469031608763646,0.664530650698993
"ENST00000711232.1",2016,1837.69388008956,1.09441191201249,-0.0994200964245691,0.197119976751119,0.0559360844299409,0.820562933389108,0.905894200741545
"ENST00000711233.1",1875,1696.69388008956,1,-0.0609696063304323,3.90512580445423,0.28645629249591,0.610710987808405,0.770932730708278
