,Length,EffectiveLength,Overdispersion,logFC,logCPM,PValue,F,FDR
ENST00000263734.5,5155,4976.69388008956,1.0274103990838919,-1.9014523563054724,8.00974946174326,3.1583543400053566e-10,4265.533021348801,6.620674250858701e-06
ENST00000645237.2,5855,5676.69388008956,2.478025987247001,2.0051535502139037,8.323096433302643,3.3226361565901477e-10,4197.910140387978,6.620674250858701e-06
ENST00000244741.10,2117,1938.6938800895596,1.0891470574060114,1.8365796665331766,10.656246576729625,5.597717858744014e-10,3836.6410770085677,6.620674250858701e-06
ENST00000341590.8,3286,3107.6938800895596,3.7947218803933795,-2.43888366665067,6.770680753433027,7.599491768145016e-10,3234.675220473076,6.620674250858701e-06
ENST00000249749.7,3426,3247.6938800895596,1.0126300329357472,3.8578313961788617,6.258119147508131,8.694606820531573e-10,3103.184325736536,6.620674250858701e-06
ENST00000359092.7,3206,3027.6938800895596,4.928092091576696,-2.318486050468128,7.1119871848886795,8.864797818649931e-10,3081.260095629023,6.620674250858701e-06
ENST00000296677.5,2861,2682.6938800895596,1.037976808427321,3.357620170189409,7.070414237350144,1.2889555511287848e-09,2856.735256020445,7.040669377727349e-06
ENST00000421017.6,1444,1265.6938800895596,12.313381248434817,-1.397785080185498,8.788245395106973,1.387794230300893e-09,2674.9134440396288,7.040669377727349e-06
ENST00000234590.10,1781,1602.6938800895596,1.068742709853876,-1.3517147804266212,10.037078424420253,1.4140729820701645e-09,2659.132802611824,7.040669377727349e-06
ENST00000343200.9,9455,9276.69388008956,3.473872462735208,1.5526501871107377,8.919762457189389,2.232485072622105e-09,2302.4199464858907,1.0003988858926914e-05
ENST00000274289.8,2786,2607.6938800895596,1.3218550129835431,1.5508849048368973,7.505553025105486,3.962576877846715e-09,1921.1144458648075,1.2967776553805502e-05
ENST00000298198.5,8477,8298.69388008956,1.0,2.512622862857288,6.139915729256652,4.175727120713371e-09,1890.0827006433447,1.2967776553805502e-05
ENST00000325551.9,2454,2275.6938800895596,2.47009102411965,-2.1144919739659036,5.767185272837566,4.6514219844944244e-09,1826.7871648736966,1.2967776553805502e-05
ENST00000343411.8,4377,4198.69388008956,1.0617151103070341,-1.9551739435636706,6.722426153752336,4.883470589144667e-09,1798.6124211621952,1.2967776553805502e-05
ENST00000258341.5,7929,7750.69388008956,1.2034191260596208,-0.8408400477933756,9.840629971932811,5.172736593078168e-09,1766.0884428593624,1.2967776553805502e-05
ENST00000193403.11,3799,3620.6938800895596,3.729993284139634,-0.9120172060719047,9.319530411627014,5.17959929612435e-09,1765.3496365715635,1.2967776553805502e-05
ENST00000286713.7,3145,2966.6938800895596,1.198587931210331,1.3953469745812161,7.762252689489692,5.233963394982079e-09,1759.5475117984622,1.2967776553805502e-05
ENST00000257527.9,6481,6302.69388008956,1.0,1.1432378218571797,9.606373852869563,5.407424735446043e-09,1741.5198736356606,1.2967776553805502e-05
ENST00000375398.6,8201,8022.69388008956,4.264466697251621,1.9532250844729948,6.890211372851375,5.735863899108092e-09,1709.5323487259823,1.2967776553805502e-05
ENST00000442011.7,2712,2533.6938800895596,1.0121134824074627,0.7047932709772816,11.940111901804762,5.9322280015084256e-09,1691.3232077757082,1.2967776553805502e-05
ENST00000223095.5,3156,2977.6938800895596,1.0,-1.846537216686108,11.32730124511901,6.077153101468736e-09,1974.826039635033,1.2967776553805502e-05
ENST00000368653.7,11417,11238.69388008956,8.967195429370086,-3.22387400527167,5.845407282970121,7.20195260536461e-09,1591.7933090551223,1.4431047708118105e-05
ENST00000257770.8,3562,3383.6938800895596,1.9358355904624973,-1.36791324981656,8.983314466512791,7.637546978838369e-09,1561.6066084096763,1.4431047708118105e-05
ENST00000504154.6,8053,7874.69388008956,2.6783689604689447,-2.9696054107580085,5.108379673865916,7.729020664453696e-09,1557.58055197871,1.4431047708118105e-05
ENST00000602540.5,5741,5562.69388008956,3.3480452512270915,1.9690948787725349,9.756998265493223,8.441547089272826e-09,1773.9593602699765,1.5130966664696183e-05
ENST00000424649.6,3683,3504.6938800895596,6.401185250671713,-1.6326022295818334,7.103650700357346,9.146938417601743e-09,1475.1994856105139,1.5534853350090597e-05
ENST00000244745.4,4869,4690.69388008956,1.0,2.3872585599039278,7.233167551312652,9.577409024279728e-09,1580.9130123937139,1.5534853350090597e-05
ENST00000257497.11,1401,1222.6938800895596,1.0,-1.4720183669845142,8.044442316696001,9.706899953193117e-09,1447.7034456400427,1.5534853350090597e-05
ENST00000296861.2,3595,3416.6938800895596,1.0,2.041687310556652,6.6779441421115955,1.056305871987582e-08,1409.6884823863174,1.6088071209645354e-05
ENST00000233813.5,6239,6060.69388008956,1.0,1.267142363459876,13.589273238478606,1.0770617399508171e-08,1638.3015797815176,1.6088071209645354e-05
ENST00000206262.2,7932,7753.69388008956,1.001738070261758,2.8128760749716974,4.856483976269574,1.1782193679511952e-08,1363.9758619775394,1.7031350999116453e-05
